11350 -> error: 3.1276885102540652
11375 -> error: 4.643058780860877
11400 -> error: 7.9769211706212
11425 -> error: 4.3064949132095816
11450 -> error: 6.43545944316557
11475 -> error: 3.8953606765895525
11500 -> error: 2.8414102507618932
11525 -> error: 4.153818437424051
11550 -> error: 6.23956006724542
11575 -> error: 5.251876677286211
11600 -> error: 4.119191559666121
11625 -> error: 4.830174279711623
11650 -> error: 4.306672512637049
11675 -> error: 5.284109932575307
11700 -> error: 5.437600847383326
11725 -> error: 3.8340190744020064
11750 -> error: 3.10855981310209
11775 -> error: 3.9647589613393897
11800 -> error: 4.676255637876471
11825 -> error: 5.418236294764048
11850 -> error: 3.415171148610886
11875 -> error: 3.888993009051403
11900 -> error: 4.859620311960186
11925 -> error: 4.376939180310227
11950 -> error: 2.8125411136589147
11975 -> error: 6.353142460894291
12000 -> error: 6.2290260868943985
12025 -> error: 3.3793520241985133
12050 -> error: 5.685645503266833
12075 -> error: 4.1949478644494755
12100 -> error: 4.576124567950633
12125 -> error: 5.833826462020005
12150 -> error: 3.116842685835631
12175 -> error: 3.918483650853896
12200 -> error: 4.0796512948412635
12225 -> error: 4.458439596935947
12250 -> error: 6.730401869589354
12275 -> error: 5.812347081951853
12300 -> error: 3.8343510037070034
12325 -> error: 4.666888072801577
12350 -> error: 4.959817402462663
12375 -> error: 5.0491503614527655
12400 -> error: 5.858666623846675
12425 -> error: 6.255022701036225
12450 -> error: 3.429199183986989
12475 -> error: 6.548670265395338
12500 -> error: 7.652111195978221
12525 -> error: 4.528055051233042
12550 -> error: 5.1762525581403285
12575 -> error: 5.777444112549494
12600 -> error: 4.0281551812745136
12625 -> error: 6.178399377344167
12650 -> error: 8.187808431392352
12675 -> error: 4.208425590083021
12700 -> error: 4.3350961229695635
12725 -> error: 4.572701115260208
12750 -> error: 3.6074234611867113
12775 -> error: 5.05620475531895
12800 -> error: 4.429022199129381
12825 -> error: 2.6902500542629246
12850 -> error: 5.482952400742559
12875 -> error: 4.714248227717656
12900 -> error: 3.0512594905644725
12925 -> error: 5.5974315270771635
12950 -> error: 5.53872313757882
12975 -> error: 3.8613209625471003
13000 -> error: 4.953132316511749
13025 -> error: 3.9010885088985425
13050 -> error: 4.264202397708515
13075 -> error: 6.526029553799197
13100 -> error: 4.365637215752192
13125 -> error: 5.485989498716644
13150 -> error: 7.12340300213392
13175 -> error: 4.622212575225871
13200 -> error: 4.1976071126061525
13225 -> error: 3.211460191641802
13250 -> error: 6.321711400734748
13275 -> error: 3.7194415819801088
13300 -> error: 4.216803207498719
13325 -> error: 6.775005506675143
13350 -> error: 2.881028861539813
13375 -> error: 3.790613733889701
13400 -> error: 3.5446006440198503
13425 -> error: 5.055350824665803
13450 -> error: 4.997077850938471
13475 -> error: 6.205971321848613
13500 -> error: 4.216172172490817
13525 -> error: 6.821775229297191
13550 -> error: 3.8132983763188446
13575 -> error: 3.4272524590004467
13600 -> error: 4.596935387479907
13625 -> error: 6.067396565778916
13650 -> error: 5.164082814232926
13675 -> error: 4.111399568856683
13700 -> error: 4.644903092702859
13725 -> error: 4.0638256551035905
13750 -> error: 5.6854227485591595
13775 -> error: 4.129997924730274
13800 -> error: 6.5005536943971345
13825 -> error: 4.137804214956705
13850 -> error: 2.952582576930947
13875 -> error: 7.44037937878795
13900 -> error: 5.2051125702425
13925 -> error: 3.3748420395796686
13950 -> error: 5.073097721866342
13975 -> error: 2.908860377638335
14000 -> error: 6.958055441174706
14025 -> error: 7.84626006432812
14050 -> error: 4.589597317187592
14075 -> error: 3.758284509402299
14100 -> error: 4.249494185921619
14125 -> error: 3.6111666373524014
14150 -> error: 3.9505370342380943
14175 -> error: 5.973364838505722
14200 -> error: 4.226455094811375
14225 -> error: 3.1321346472374545
14250 -> error: 4.6203773697810195
14275 -> error: 3.8628763848774335
14300 -> error: 4.864728621846134
14325 -> error: 5.717729988226247
14350 -> error: 6.3432683151101585
14375 -> error: 5.1900915084151125
14400 -> error: 6.0699464351295385
14425 -> error: 3.3000426780946475
14450 -> error: 4.243605571643136
14475 -> error: 6.668498486939358
14500 -> error: 4.530056921325516
14525 -> error: 2.35653596554285
14550 -> error: 3.0744656726597683
14575 -> error: 2.8287196087521584
14600 -> error: 4.627195507317522
14625 -> error: 4.328560376906326
14650 -> error: 5.563576069163444
14675 -> error: 5.480397578108339
14700 -> error: 4.61107043104088
14725 -> error: 4.350834181154163
14750 -> error: 4.14013945413763
14775 -> error: 3.3658213665277175
14800 -> error: 3.5789150381990034
14825 -> error: 4.292168720594497
14850 -> error: 4.176517717811381
14875 -> error: 4.6973437899551564
14900 -> error: 2.6496147307553124
14925 -> error: 5.630113947309804
14950 -> error: 5.964868691622707
14975 -> error: 6.496274907745358
15000 -> error: 4.725906704892682
15025 -> error: 4.506917510942424
15050 -> error: 2.474586348211975
15075 -> error: 3.6770231477964823
15100 -> error: 6.633324629172488
15125 -> error: 5.2619752092172565
15150 -> error: 3.6423083167082937
15175 -> error: 6.530810765732881
15200 -> error: 3.7287010598367805
15225 -> error: 4.285073904604205
15250 -> error: 4.704926307417316
15275 -> error: 2.54195889111525
15300 -> error: 6.413859690574085
15325 -> error: 3.564190246085431
15350 -> error: 2.295664150237581
15375 -> error: 5.673485561409965
15400 -> error: 5.909748635666967
15425 -> error: 3.867998627647622
15450 -> error: 5.28960628897679
15475 -> error: 5.303438963894088
15500 -> error: 2.947494872058811
15525 -> error: 5.2033592377595586
15550 -> error: 3.134386994024207
15575 -> error: 5.871989676110446
15600 -> error: 5.538810778064645
15625 -> error: 7.155360004103922
15650 -> error: 4.23788048040368
15675 -> error: 4.757342636384407
15700 -> error: 5.8042310738076495
15725 -> error: 5.427447091454876
15750 -> error: 5.067078580341484
15775 -> error: 3.0192733595300494
15800 -> error: 5.599091435705931
15825 -> error: 3.978160964072079
15850 -> error: 5.528735780156457
15875 -> error: 3.9449907530469543
15900 -> error: 4.653392145136803
15925 -> error: 3.7128230715349826
15950 -> error: 3.7173777380452546
15975 -> error: 4.7305098767308005
16000 -> error: 3.5432576962780855
16025 -> error: 3.272557251781323
16050 -> error: 3.764321762536935
16075 -> error: 3.7501090987547916
16100 -> error: 4.449823380297776
16125 -> error: 2.6462263481225574
16150 -> error: 4.359130633761983
16175 -> error: 3.1432996908944815
16200 -> error: 4.712946879197007
16225 -> error: 4.831445632270222
16250 -> error: 2.855601170674832
16275 -> error: 4.007175684970007
16300 -> error: 4.6869469888634345
16325 -> error: 3.9061660147221486
16350 -> error: 3.4615519303279885
16375 -> error: 2.9562163143375964
16400 -> error: 4.906517070134525
16425 -> error: 5.628964870552668
16450 -> error: 4.114059736842739
16475 -> error: 4.788667796362159
16500 -> error: 5.055535128951581
16525 -> error: 5.504596003676954
16550 -> error: 3.734328393366003
16575 -> error: 6.451152952780302
16600 -> error: 5.562809110475117
16625 -> error: 3.8468688468976864
